TR:mock:CellLine,TR:TCRlig,TR:CD45,TR:CD8,TR:ERKi,TR:Fosi,TR:RasGRP1i,DA:CRE,DA:AP1,DA:Nfkb,DA:NFAT,DA:Gads,DA:Rlk,DA:Ca,DA:Raf,DV:CRE,DV:AP1,DV:Nfkb,DV:NFAT,DV:Gads,DV:Rlk,DV:Ca,DV:Raf
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,30,30,30,30,30,30,30,30,0.104166666666667,0,0.625,0.641666666666667,0.708333333333333,0.608333333333333,0.5625,0.170833333333333
1,0,1,0,0,0,1,30,30,30,30,30,30,30,30,1,0,0,0.616666666666667,0.6625,0,0,0.833333333333333
1,1,0,0,1,1,1,30,30,30,30,30,30,30,30,1,0,0.9875,0.254166666666667,0.266666666666667,0,0.0791666666666667,0.0416666666666667
1,0,1,0,0,1,0,30,30,30,30,30,30,30,30,1,0,0,0,0.4125,0.1,0.295833333333333,0.908333333333333
1,0,0,1,0,0,0,30,30,30,30,30,30,30,30,0.125,0.0125,0.729166666666667,0.0125,0.441666666666667,0.308333333333333,0,0.570833333333333
1,1,1,1,1,0,0,30,30,30,30,30,30,30,30,0.05,0.0833333333333333,0.7,0.341666666666667,0.3625,0.845833333333333,0.508333333333333,0.8375
1,1,0,1,0,1,1,30,30,30,30,30,30,30,30,0,0.0583333333333333,0.829166666666667,0,0,0.158333333333333,0,0.2
1,0,1,1,0,1,1,30,30,30,30,30,30,30,30,0.0291666666666667,0,0.3375,0,0.0541666666666667,0.283333333333333,0,0.3875
1,1,1,1,0,1,0,30,30,30,30,30,30,30,30,0.8625,0.3125,0.116666666666667,0.15,0.266666666666667,0.129166666666667,0.295833333333333,0.395833333333333
1,0,1,0,0,1,1,30,30,30,30,30,30,30,30,0.116666666666667,0,0,0.4,0.583333333333333,0.329166666666667,0,0.3375
1,0,1,1,1,1,0,30,30,30,30,30,30,30,30,0.483333333333333,0,0.6375,0.554166666666667,0,0.175,0.0625,0
1,0,1,0,0,1,0,30,30,30,30,30,30,30,30,0.3125,0,0.620833333333333,0,0.845833333333333,0,0.295833333333333,0.0291666666666667
1,0,1,1,0,1,1,30,30,30,30,30,30,30,30,1,0,0.0708333333333333,0.0416666666666667,0.141666666666667,1,0.204166666666667,0.233333333333333
1,1,1,0,0,0,1,30,30,30,30,30,30,30,30,0.641666666666667,0.433333333333333,0,0.683333333333333,0.708333333333333,0.308333333333333,0.65,0.3125
1,1,0,1,1,0,0,30,30,30,30,30,30,30,30,0.504166666666667,0.229166666666667,0,0.7875,0,0,0,0.845833333333333
1,1,0,1,0,1,0,30,30,30,30,30,30,30,30,0.0458333333333333,0,0.15,0.325,0,0.254166666666667,0.216666666666667,0.295833333333333
1,0,0,0,0,1,0,30,30,30,30,30,30,30,30,0.0791666666666667,0,0.225,0.254166666666667,0.270833333333333,0.541666666666667,0.333333333333333,0.1625
1,1,0,0,1,1,1,30,30,30,30,30,30,30,30,0.4125,0.2125,0.475,0,0,0,0.970833333333333,0.479166666666667
1,1,0,1,0,1,0,30,30,30,30,30,30,30,30,0.25,0,1,0,0.429166666666667,0.583333333333333,0.7875,0.729166666666667
1,1,1,1,1,1,0,30,30,30,30,30,30,30,30,0.0125,0,0.583333333333333,0.0958333333333333,0.175,0.504166666666667,0,0.441666666666667
1,1,0,1,0,0,1,30,30,30,30,30,30,30,30,0.85,0,0.983333333333333,0.766666666666667,0.416666666666667,0.45,0.0333333333333333,1
1,1,1,1,1,1,0,30,30,30,30,30,30,30,30,0.291666666666667,0.15,0.5625,0.275,0.00416666666666667,0,0.904166666666667,0.133333333333333
